Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
1,1559.0,616,False,,,583.83122986625,0.0,46706.4983893,0.0,2.28,0.0,0.0,0.57,1.72,0.037,0.114,0.0,0.152,0.0,0.0
2,25.0,579,True,582.0,610.0,10.80373937125,0.6942051225,864.2991497,55.5364098,10.42,0.0,1.52,8.17,0.73,0.545,0.049,18.0,1.523,0.929,0.0
3,42.0,675,True,1390.0,1392.0,6.440452806250001,6.75391609125,515.2362245,540.3132873,14.6,0.0,2.03,7.05,5.52,0.47,0.368,75.0,2.207,1.369,0.0
4,22.0,569,True,1218.0,1096.0,24.44108348625,5.5041516,1955.2866789,440.332128,15.88,0.0,3.55,7.68,4.65,0.512,0.309,38.0,3.335,2.514,0.0
5,2272.0,620,False,,,273.421841975,0.0,21873.747358,0.0,5.13,0.0,0.0,2.65,2.48,0.177,0.166,0.0,0.343,0.0,0.0
6,1258.0,694,True,2093.0,2094.0,5.9595002575,2.64777834875,476.7600206,211.8222679,8.22,0.0,0.93,5.45,1.83,0.363,0.123,96.0,1.007,0.521,0.0
7,102.0,641,True,748.0,750.0,33.82070695625,2.82428233625,2705.6565565,225.9425869,22.05,0.0,2.63,16.08,3.33,1.072,0.222,7.0,3.882,2.588,0.0
8,194.0,665,False,,,653.8116646037499,0.0,52304.9331683,0.0,7.02,0.0,0.0,4.78,2.23,0.319,0.149,0.0,0.467,0.0,0.0
9,52.0,689,True,1013.0,1016.0,62.68729208250001,1.48626862375,5014.9833666,118.9014899,51.8,0.0,4.42,45.75,1.63,3.05,0.108,55.0,7.61,4.452,0.0
10,24.0,515,True,23.0,26.0,3.4676010162499997,0.28810997125000004,277.4080813,23.0487977,6.7,0.0,4.3,1.98,0.42,0.132,0.027,40.0,1.767,1.608,0.0
11,34.0,662,True,1284.0,1029.0,28.665877132499997,1.02471803,2293.2701706,81.9774424,20.63,0.0,3.33,15.72,1.58,1.048,0.106,5.0,3.239,2.086,0.0
12,22.0,662,True,1025.0,1029.0,44.34237948125,1.02471803,3547.3903585,81.9774424,46.13,0.0,3.68,40.87,1.58,2.725,0.106,9.0,6.528,3.698,0.0
13,45.0,628,True,1266.0,1271.0,51.245595885,0.88500294625,4099.6476708,70.8002357,44.25,0.0,7.17,36.22,0.87,2.415,0.057,8.0,7.497,5.025,0.0
14,11.0,692,True,1557.0,1570.0,11.098961062499999,,887.916885,,17.55,0.0,1.75,13.33,2.47,0.889,0.164,4.0,2.785,1.731,0.0
15,296.0,653,False,,,360.2163218875,0.0,28817.305751,0.0,7.35,0.0,0.0,3.03,4.32,0.202,0.288,0.0,0.49,0.0,0.0
16,47.0,641,True,776.0,750.0,97.11262355875,2.82428233625,7769.0098847,225.9425869,55.32,0.0,4.08,47.9,3.33,3.193,0.222,7.0,7.975,4.56,0.0
17,495.0,574,True,511.0,512.0,5.90538161125,0.8308609887499999,472.4305289,66.4688791,6.97,0.0,1.53,4.48,0.95,0.299,0.064,84.0,1.151,0.788,0.0
18,7.0,631,True,2186.0,804.0,54.71048719125,11.68170147375,4376.8389753,934.5361179,51.58,0.0,7.37,41.98,2.23,2.799,0.148,2.0,6.885,3.937,0.0
19,37980.0,561,True,46.0,66.0,2.9550068275,0.48161913749999996,236.4005462,38.529531,6.18,0.0,2.48,3.35,0.35,0.223,0.023,65.0,1.406,1.16,0.0
20,33.0,569,True,1200.0,1096.0,23.7965468625,5.5041516,1903.723749,440.332128,25.55,0.0,2.0,18.9,4.65,1.26,0.309,39.0,3.025,1.455,0.0
21,1827.0,617,True,893.0,894.0,7.378180111250001,1.39748572625,590.2544089,111.7988581,5.4,0.0,0.52,3.0,1.88,0.2,0.126,46.0,0.791,0.466,0.0
22,828.0,688,True,1103.0,1105.0,37.666453515,1.305731255,3013.3162812,104.4585004,29.0,0.0,1.88,26.02,1.1,1.734,0.074,32.0,3.882,2.074,0.0
23,10645.0,576,True,63.0,128.0,0.2819079325,3.70650770625,22.5526346,296.5206165,6.87,0.0,2.52,0.73,3.62,0.049,0.241,18.0,1.285,0.995,0.0
24,25.0,707,True,33541.0,1520.0,35.595885894999995,2.40422720125,2847.6708716,192.3381761,22.32,0.0,1.5,19.8,1.02,1.32,0.068,35.0,3.085,1.697,0.0
25,125.0,707,True,33541.0,1520.0,3.51549720625,2.40422720125,281.2397765,192.3381761,6.75,0.0,1.5,4.23,1.02,0.283,0.068,35.0,2.048,1.697,0.0
26,440.0,641,True,113250.0,750.0,2.8165675075,2.82428233625,225.3254006,225.9425869,6.8,0.0,1.35,2.12,3.33,0.141,0.222,7.0,1.898,1.535,0.0
27,91.0,684,True,1815.0,1816.0,3.6496724375,0.966745395,291.973795,77.3396316,5.7,0.0,0.48,3.75,1.47,0.25,0.098,4.0,0.846,0.499,0.0
28,17603.0,562,True,1011.0,1679.0,2.14468116,0.91491851125,171.5744928,73.1934809,3.33,0.0,0.78,1.8,0.75,0.12,0.05,87.0,0.695,0.525,0.0
29,23.0,693,True,1835.0,2307.0,30.641945975,2.14528763375,2451.355678,171.6230107,19.77,0.0,2.23,16.93,0.6,1.129,0.04,15.0,2.622,1.453,0.0
30,36.0,653,False,,,354.2869398875,0.0,28342.955191,0.0,11.47,0.0,0.0,7.15,4.32,0.476,0.288,0.0,0.764,0.0,0.0
31,13139.0,561,True,30.0,31.0,10.88420359875,3.16161359625,870.7362879,252.9290877,10.65,0.0,0.92,6.35,3.38,0.423,0.226,33.0,1.031,0.383,0.0
32,100.0,685,False,,,560.4338960875,0.0,44834.711687,0.0,2.3,0.0,0.0,1.8,0.5,0.12,0.034,0.0,0.154,0.0,0.0
33,167.0,676,True,2106.0,2116.0,1.550153175,3.05190529625,124.012254,244.1524237,6.95,0.0,2.67,1.5,2.78,0.1,0.185,19.0,2.71,2.424,0.0
34,934.0,616,True,1479.0,1475.0,5.13797641375,2.15542008,411.0381131,172.4336064,10.82,0.0,4.42,4.68,1.72,0.312,0.114,48.0,3.506,3.08,0.0
