Origin,Origin_ZoneName,Origin_Population,Destination,Journey_Type,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Travel_Time_Minutes,Egress_Time_Minutes,Total_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,PathIndex,Mapeada_JRT,Mapeada_NTR,Mapeada_RIT,Mapeada_ACT,Mapeada_EGT,Mapeada_ACD,Mapeada_EGD,Mapeada_SFQ,Mapeada_JRD,Mapeada_RID,Mapeada_TWT
1,Abadiño-Zelaieta,1559,901,Public Transport,True,1475.0,1078.0,1.4780678225000001,42.23333333333333,0.9184603362500001,44.62986149208333,118.2454258,73.4768269,12.0,43.27,0,41.77,0.57,0.93,0.037,0.062,36,25.084,24.984,0.0
2,Abanto,25,903,Public Transport,True,610.0,284.0,10.381505725,34.25,,,830.520458,,6.0,34.27,0,26.6,5.13,2.53,0.343,0.169,36,15.709,15.198,0.0
3,Agarre,42,901,Public Transport,True,1390.0,1078.0,6.440452806250001,17.933333333333334,0.9184603362500001,25.292246475833334,515.2362245,73.4768269,59.0,17.93,0,9.95,7.05,0.93,0.47,0.062,63,6.307,5.775,0.0
4,Agirre,22,901,Public Transport,True,1218.0,1078.0,24.44108348625,77.11666666666666,0.9184603362500001,102.47621048916668,1955.2866789,73.4768269,34.0,77.12,2,68.5,7.68,0.93,0.512,0.062,32,40.391,39.817,8.3
5,Agirre-Aperribai,2272,901,Public Transport,True,171.0,1005.0,4.30644740875,13.2,1.089115005,18.59556241375,344.5157927,87.1292004,118.0,13.2,0,9.35,2.75,1.1,0.184,0.074,119,6.348,6.09,0.0
6,Agirre-Areantza-Guzurmendi,1258,904,Public Transport,True,2130.0,1648.0,9.106720335,20.466666666666665,6.839990448749999,36.41337745041667,728.5376268,547.1992359,1.0,20.47,0,7.53,6.9,6.03,0.46,0.402,6,6.164,5.302,0.0
7,Ahedo,102,902,Public Transport,True,786.0,209.0,30.85243540125,94.43333333333334,,,2468.1948321,,5.0,94.43,2,76.53,16.32,1.58,1.087,0.106,7,50.415,49.222,8.85
8,Aita San Migel,194,901,Public Transport,True,1376.0,1078.0,8.880122465,23.266666666666666,0.9184603362500001,33.065249467916665,710.4097972,73.4768269,1.0,23.27,0,14.32,8.02,0.93,0.535,0.062,34,20.037,19.441,0.0
9,Aiuria,52,901,Public Transport,True,1071.0,1078.0,62.69872717,67.56666666666666,0.9184603362500001,131.18385417291665,5015.8981736,73.4768269,17.0,67.57,0,20.88,45.75,0.93,3.05,0.062,16,18.321,15.21,0.0
10,Aketxe,24,904,Public Transport,True,8.0,2219.0,4.60397649,41.66666666666666,0.79330144375,47.06394460041666,368.3181192,63.4641155,11.0,41.67,1,37.87,2.87,0.93,0.191,0.062,21,12.834,12.581,6.65
11,Akorda,34,901,Public Transport,True,1294.0,1078.0,22.08126405125,98.1,0.9184603362500001,121.0997243875,1766.5011241,73.4768269,5.0,98.1,1,81.58,15.58,0.93,1.039,0.062,5,41.072,39.97,25.35
12,Akorda-Bollar,22,901,Public Transport,True,1059.0,1078.0,44.12115105125,87.36666666666666,0.9184603362500001,132.40627805416668,3529.6920841,73.4768269,9.0,87.37,0,45.03,41.4,0.93,2.76,0.062,8,35.684,32.862,0.0
13,Albiz,45,901,Public Transport,True,1266.0,1078.0,51.245595885,89.55,0.9184603362500001,141.71405622125002,4099.6476708,73.4768269,6.0,89.55,0,52.4,36.22,0.93,2.415,0.062,8,36.574,34.097,0.0
14,Albizuelexaga,11,901,Public Transport,True,1557.0,1004.0,11.098961062499999,96.33333333333331,2.95083712375,110.38313151958332,887.916885,236.0669699,5.0,102.45,0,87.32,13.33,1.8,0.889,0.12,4,37.937,36.928,0.0
15,Aldai,296,904,Public Transport,True,1191.0,2220.0,2.75881109625,65.5,0.90773412,69.16654521625,220.7048877,72.6187296,5.0,65.5,1,61.45,3.35,0.7,0.223,0.047,7,19.361,19.09,25.72
16,Aldeacueva,47,902,Public Transport,True,776.0,209.0,97.11262355875,133.18333333333334,,,7769.0098847,,5.0,133.18,2,83.7,47.9,1.58,3.193,0.106,7,60.031,56.732,8.85
17,Aldekona (San Isidro),495,903,Public Transport,True,511.0,2064.0,5.90538161125,31.2,,,472.4305289,,15.0,31.2,0,24.22,4.48,2.5,0.299,0.166,13,15.568,15.103,0.0
18,Alen,7,903,Public Transport,True,727.0,278.0,62.151811695000006,148.4,,,4972.1449356,,5.0,151.93,2,104.72,43.13,4.08,2.876,0.272,5,43.412,40.265,31.5
19,Algorta,37980,903,Public Transport,True,2088.0,2064.0,11.19846875,35.56666666666667,,,895.8775,,33.0,35.57,0,22.4,10.67,2.5,0.711,0.166,29,13.044,12.167,0.0
20,Almika,33,901,Public Transport,True,1219.0,1078.0,23.81799743625,87.05,0.9184603362500001,111.7864577725,1905.4397949,73.4768269,36.0,87.05,2,65.8,20.32,0.93,1.355,0.062,33,39.404,37.987,8.3
21,Alonsotegi,1827,902,Public Transport,True,893.0,249.0,7.378180111250001,17.083333333333332,,,590.2544089,,10.0,17.08,0,12.57,3.0,1.52,0.2,0.101,32,7.634,7.333,0.0
22,Altamira-San Kristobal,828,901,Public Transport,True,1103.0,1078.0,37.666453515,73.48333333333333,0.9184603362500001,112.06824718458334,3013.3162812,73.4768269,18.0,73.48,1,46.53,26.02,0.93,1.734,0.062,17,31.018,29.222,6.07
23,Altzaga,10645,903,Public Transport,True,525.0,278.0,3.1872555399999998,53.91666666666666,,,254.9804432,,8.0,56.53,1,51.2,2.83,2.5,0.189,0.166,32,16.641,16.285,11.87
24,Altzuaga,25,901,Public Transport,True,33541.0,1078.0,35.595885894999995,50.16666666666666,0.9184603362500001,86.68101289791666,2847.6708716,73.4768269,35.0,50.17,0,29.43,19.8,0.93,1.32,0.062,35,23.185,21.803,0.0
25,Altzusta,125,901,Public Transport,True,33541.0,1078.0,3.51549720625,34.6,0.9184603362500001,39.0339575425,281.2397765,73.4768269,30.0,34.6,0,29.43,4.23,0.93,0.283,0.062,30,22.148,21.803,0.0
26,Ambasaguas,440,902,Public Transport,True,784.0,209.0,3.1005035199999997,81.95,,,248.0402816,,5.0,81.95,2,78.25,2.12,1.58,0.141,0.106,7,50.861,50.614,8.85
27,Ametzaga,91,904,Public Transport,True,1148.0,2220.0,11.47727080125,40.2,0.90773412,52.585004921250004,918.1816641,72.6187296,4.0,40.2,1,29.43,10.07,0.7,0.671,0.047,15,17.086,16.368,1.15
