Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
1,1559.0,718,True,1475,278,1.4780678225000001,,118.2454258,,,Public Transport,56.75,1.0,54.87,0.57,1.32,0.037,0.088,28.0,40.326,40.2,3.42
2,25.0,718,True,610,284,10.381505725,,830.520458,,,Public Transport,34.27,0.0,26.6,5.13,2.53,0.343,0.169,36.0,15.709,15.198,0.0
3,42.0,718,True,1390,278,6.440452806250001,,515.2362245,,,Public Transport,61.22,1.0,45.73,14.17,1.32,0.945,0.088,41.0,24.342,23.309,2.27
4,22.0,718,True,1201,2064,24.197265755,,1935.7812604,,,Public Transport,77.38,1.0,67.2,7.68,2.5,0.512,0.166,12.0,39.071,38.393,5.47
5,2272.0,718,True,162,284,4.2985756424999995,,343.8860514,,,Public Transport,40.57,1.0,35.38,2.65,2.53,0.177,0.169,45.0,15.897,15.552,0.48
6,1258.0,718,True,2130,278,9.106720335,,728.5376268,,,Public Transport,84.22,2.0,74.82,6.9,2.5,0.46,0.166,32.0,28.011,27.385,22.27
7,102.0,718,True,786,278,30.85243540125,,2468.1948321,,,Public Transport,118.43,1.0,98.03,16.32,4.08,1.087,0.272,7.0,52.682,51.323,12.52
8,194.0,718,True,1376,284,8.880122465,,710.4097972,,,Public Transport,45.53,1.0,34.98,8.02,2.53,0.535,0.169,53.0,35.901,35.197,1.05
9,52.0,718,True,1071,284,62.69872717,,5015.8981736,,,Public Transport,96.63,2.0,48.35,45.75,2.53,3.05,0.169,43.0,35.807,32.589,4.57
10,24.0,718,True,8,2064,4.60397649,,368.3181192,,,Public Transport,22.05,0.0,16.68,2.87,2.5,0.191,0.166,15.0,9.579,9.222,0.0
11,34.0,718,True,1294,278,22.08126405125,,1766.5011241,,,Public Transport,123.62,3.0,106.72,15.58,1.32,1.039,0.088,5.0,59.256,58.129,19.6
12,22.0,718,True,1059,278,44.12115105125,,3529.6920841,,,Public Transport,128.03,2.0,85.32,41.4,1.32,2.76,0.088,8.0,55.848,53.0,15.87
13,45.0,718,True,1266,284,51.245595885,,4099.6476708,,,Public Transport,116.45,2.0,77.7,36.22,2.53,2.415,0.169,10.0,56.219,53.635,2.7
14,11.0,718,True,1557,278,11.098961062499999,,887.916885,,,Public Transport,142.55,3.0,127.9,13.33,1.32,0.889,0.088,4.0,52.989,52.012,28.17
15,296.0,718,True,1191,278,2.75881109625,,220.7048877,,,Public Transport,65.02,1.0,59.17,3.35,2.5,0.223,0.166,2.0,29.963,29.574,0.7
16,47.0,718,True,776,278,97.11262355875,,7769.0098847,,,Public Transport,157.18,1.0,105.2,47.9,4.08,3.193,0.272,7.0,62.297,58.832,12.52
17,495.0,718,True,511,2064,5.90538161125,,472.4305289,,,Public Transport,31.2,0.0,24.22,4.48,2.5,0.299,0.166,13.0,15.568,15.103,0.0
18,7.0,718,True,727,278,62.151811695000006,,4972.1449356,,,Public Transport,151.93,2.0,104.72,43.13,4.08,2.876,0.272,5.0,43.412,40.265,31.5
19,37980.0,718,True,2088,2064,11.19846875,,895.8775,,,Public Transport,35.57,0.0,22.4,10.67,2.5,0.711,0.166,29.0,13.044,12.167,0.0
20,33.0,718,True,1200,2064,23.7965468625,,1903.723749,,,Public Transport,90.47,1.0,69.07,18.9,2.5,1.26,0.166,12.0,40.935,39.509,5.47
21,1827.0,718,True,893,284,7.378180111250001,,590.2544089,,,Public Transport,19.77,0.0,12.68,3.0,4.08,0.2,0.272,14.0,9.791,9.319,0.0
22,828.0,718,True,1103,284,37.666453515,,3013.3162812,,,Public Transport,95.68,2.0,67.13,26.02,2.53,1.734,0.169,41.0,48.504,46.601,4.57
23,10645.0,718,True,525,278,3.1872555399999998,,254.9804432,,,Public Transport,56.53,1.0,51.2,2.83,2.5,0.189,0.166,32.0,16.641,16.285,11.87
24,25.0,718,True,33541,278,35.595885894999995,,2847.6708716,,,Public Transport,90.9,1.0,69.78,19.8,1.32,1.32,0.088,25.0,41.463,40.055,6.88
25,125.0,718,True,33541,278,3.51549720625,,281.2397765,,,Public Transport,75.33,1.0,69.78,4.23,1.32,0.283,0.088,24.0,40.426,40.055,6.88
26,440.0,718,True,784,278,3.1005035199999997,,248.0402816,,,Public Transport,105.95,1.0,99.75,2.12,4.08,0.141,0.272,7.0,53.127,52.715,12.52
27,91.0,718,True,1148,2064,11.47727080125,,918.1816641,,,Public Transport,61.58,1.0,49.02,10.07,2.5,0.671,0.166,12.0,27.689,26.852,5.47
28,17603.0,718,True,1073,284,2.8749088825,,229.9927106,,,Public Transport,42.93,2.0,38.25,2.15,2.53,0.143,0.169,59.0,28.936,28.625,2.7
29,23.0,718,True,1836,278,30.595210406249997,,2447.6168325,,,Public Transport,97.97,2.0,79.58,17.07,1.32,1.138,0.088,15.0,48.293,47.067,9.35
30,36.0,718,True,1191,278,9.381552786250001,,750.5242229,,,Public Transport,68.92,1.0,59.17,7.25,2.5,0.483,0.166,2.0,30.223,29.574,0.7
31,13139.0,718,True,30,2064,10.88420359875,,870.7362879,,,Public Transport,34.92,0.0,26.07,6.35,2.5,0.423,0.166,18.0,14.444,13.855,0.0
32,100.0,718,True,1706,278,2.15254951875,,172.2039615,,,Public Transport,91.53,1.0,74.15,14.88,2.5,0.992,0.166,10.0,36.339,35.181,0.7
33,167.0,718,True,2106,284,1.550153175,,124.012254,,,Public Transport,86.73,1.0,82.73,1.5,2.5,0.1,0.166,15.0,33.355,33.089,24.53
34,934.0,718,True,1479,278,5.13797641375,,411.0381131,,,Public Transport,66.88,1.0,60.88,4.68,1.32,0.312,0.088,28.0,43.681,43.281,3.42
35,5.0,718,True,1564,284,20.7173559775,,1657.3884782,,,Public Transport,89.85,3.0,78.32,9.0,2.53,0.601,0.169,21.0,28.332,27.563,7.02
36,1543.0,718,True,1066,284,5.0753008625,,406.024069,,,Public Transport,63.72,2.0,56.28,4.9,2.53,0.327,0.169,61.0,39.859,39.363,4.57
37,1909.0,718,True,637,283,4.11514505625,,329.2116045,,,Public Transport,38.32,0.0,32.08,2.15,4.08,0.143,0.272,14.0,23.459,23.044,0.0
38,81.0,718,True,1392,278,7.4956466187499995,,599.6517295,,,Public Transport,49.77,1.0,44.4,4.05,1.32,0.27,0.088,34.0,23.016,22.658,2.27
39,32.0,718,True,1529,278,4.746733186249999,,379.7386549,,,Public Transport,61.07,1.0,55.73,4.02,1.32,0.267,0.088,24.0,30.556,30.201,6.88
40,20.0,718,True,1340,284,8.75249743375,,700.1997947,,,Public Transport,95.53,3.0,90.02,2.98,2.53,0.199,0.169,9.0,28.227,27.859,13.0
41,247.0,718,True,890,284,2.22072758625,,177.6582069,,,Public Transport,20.87,0.0,14.3,2.48,4.08,0.165,0.272,14.0,11.274,10.837,0.0
42,1245.0,718,True,1523,278,3.34813628,,267.8509024,,,Public Transport,64.9,1.0,61.92,1.67,1.32,0.111,0.088,24.0,35.331,35.131,6.88
43,25409.0,718,True,6,2064,7.27476440375,,581.9811523,,,Public Transport,31.82,0.0,21.77,7.55,2.5,0.503,0.166,21.0,11.434,10.765,0.0
44,76.0,718,True,1322,278,1.56526593375,,125.2212747,,,Public Transport,97.0,3.0,93.9,1.78,1.32,0.119,0.088,9.0,44.383,44.176,24.83
45,35.0,718,True,1422,278,8.7827784675,,702.6222774,,,Public Transport,70.87,2.0,61.73,7.82,1.32,0.521,0.088,27.0,48.469,47.86,4.62
46,7.0,718,True,1744,284,9.96026555625,,796.8212445,,,Public Transport,59.0,0.0,52.08,4.38,2.53,0.292,0.169,21.0,25.028,24.568,0.0
47,487.0,718,True,1567,284,1.6271509600000003,,130.1720768,,,Public Transport,79.82,3.0,75.37,1.92,2.53,0.128,0.169,21.0,25.709,25.413,7.02
48,544.0,718,True,463,278,15.09329468125,,1207.4635745,,,Public Transport,52.97,1.0,48.07,2.4,2.5,0.16,0.166,19.0,21.885,21.558,12.77
49,33744.0,718,True,196,284,4.25314280625,,340.2514245,,,Public Transport,55.68,2.0,49.98,3.17,2.53,0.211,0.169,42.0,15.114,14.735,6.62
50,900.0,718,True,1356,284,4.8836529275,,390.6922342,,,Public Transport,48.6,1.0,37.0,9.07,2.53,0.604,0.169,45.0,17.475,16.703,0.48
51,66.0,718,True,1336,284,2.8883379062500003,,231.0670325,,,Public Transport,97.47,3.0,92.45,2.48,2.53,0.165,0.169,9.0,29.565,29.231,13.0
