Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
1,1559.0,727,True,1475.0,1375.0,1.4780678225000001,1.6399802562499999,118.2454258,131.1984205,9.884714745416668,Public Transport,6.77,0.0,4.92,0.57,1.28,0.037,0.086,48.0,3.913,3.79,0.0
2,25.0,517,True,582.0,587.0,10.80373937125,0.92716684375,864.2991497,74.1733475,27.19757288166667,Public Transport,15.75,0.0,10.03,5.13,0.58,0.343,0.039,102.0,5.807,5.425,0.0
3,42.0,716,True,1390.0,1078.0,6.440452806250001,0.9184603362500001,515.2362245,73.4768269,25.292246475833334,Public Transport,17.93,0.0,9.95,7.05,0.93,0.47,0.062,63.0,6.307,5.775,0.0
4,22.0,719,True,1218.0,1096.0,24.44108348625,6.3014092375,1955.2866789,504.112739,47.242492723750004,Public Transport,16.5,0.0,3.55,7.68,5.27,0.512,0.351,38.0,3.376,2.514,0.0
5,2272.0,511,True,171.0,1993.0,4.30644740875,0.91754787125,344.5157927,73.4038297,13.407328613333334,Public Transport,8.18,0.0,4.82,2.75,0.62,0.184,0.041,104.0,2.793,2.569,0.0
6,1258.0,737,True,2095.0,2096.0,6.802702340000001,19.8202749175,544.2161872,1585.6219934,42.00631059083334,Public Transport,15.38,0.0,1.38,5.02,8.98,0.335,0.598,80.0,1.389,0.456,0.0
7,102.0,505,True,786.0,251.0,30.85243540125,3.48591390375,2468.1948321,278.8731123,123.87168263833334,Public Transport,89.53,2.0,69.72,16.32,3.5,1.087,0.233,7.0,51.214,49.893,0.53
8,194.0,727,True,1417.0,2280.0,8.948042265,1.67989424,715.8433812,134.3915392,20.677936505,Public Transport,10.05,0.0,0.75,8.02,1.28,0.535,0.086,15.0,1.257,0.636,0.0
9,52.0,731,True,1013.0,977.0,62.68729208250001,6.267915390000001,5014.9833666,501.4332312,129.4718741391667,Public Transport,60.52,0.0,9.73,45.75,5.03,3.05,0.335,54.0,11.014,7.629,0.0
10,24.0,515,True,23.0,26.0,3.4676010162499997,0.28810997125000004,277.4080813,23.0487977,9.8057109875,Public Transport,6.7,0.0,4.3,1.98,0.42,0.132,0.027,40.0,1.767,1.608,0.0
