Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
1,1559.0,727,True,1475.0,1375.0,1.4780678225000001,1.6399802562499999,118.2454258,131.1984205,9.884714745416668,Public Transport,6.77,0.0,4.92,0.57,1.28,0.037,0.086,48.0,3.913,3.79,0.0
2,25.0,733,True,582.0,587.0,10.80373937125,1.5842107925,864.2991497,126.7368634,28.22128349708333,Public Transport,16.12,0.0,10.03,5.13,0.95,0.343,0.064,102.0,5.831,5.425,0.0
3,42.0,716,True,1390.0,1078.0,6.440452806250001,0.9184603362500001,515.2362245,73.4768269,25.292246475833334,Public Transport,17.93,0.0,9.95,7.05,0.93,0.47,0.062,63.0,6.307,5.775,0.0
4,22.0,745,True,1218.0,1096.0,24.44108348625,5.5041516,1955.2866789,440.332128,45.828568419583334,Public Transport,15.88,0.0,3.55,7.68,4.65,0.512,0.309,38.0,3.335,2.514,0.0
5,2272.0,735,True,162.0,975.0,4.2985756424999995,,343.8860514,,,Public Transport,8.6,0.0,4.42,2.65,1.53,0.177,0.102,148.0,4.132,3.853,0.0
6,1258.0,748,True,2095.0,2188.0,6.802702340000001,5.762147783750001,544.2161872,460.9718227,23.548183457083333,Public Transport,10.98,0.0,1.92,5.02,4.05,0.335,0.27,87.0,1.83,1.225,0.0
7,102.0,755,True,786.0,675.0,30.85243540125,4.986800445,2468.1948321,398.9440356,91.30590251291667,Public Transport,56.8,0.0,34.9,16.32,5.58,1.087,0.372,7.0,27.83,26.371,0.0
8,194.0,727,True,1417.0,2280.0,8.948042265,1.67989424,715.8433812,134.3915392,20.677936505,Public Transport,10.05,0.0,0.75,8.02,1.28,0.535,0.086,15.0,1.257,0.636,0.0
9,52.0,731,True,1013.0,977.0,62.68729208250001,6.267915390000001,5014.9833666,501.4332312,129.4718741391667,Public Transport,60.52,0.0,9.73,45.75,5.03,3.05,0.335,54.0,11.014,7.629,0.0
10,24.0,749,True,23.0,26.0,3.4676010162499997,0.28810997125000004,277.4080813,23.0487977,9.8057109875,Public Transport,6.7,0.0,4.3,1.98,0.42,0.132,0.027,40.0,1.767,1.608,0.0
11,34.0,713,True,1294.0,1274.0,22.08126405125,2.98574116875,1766.5011241,238.8592935,68.00033855333332,Public Transport,42.93,0.0,23.72,15.58,3.63,1.039,0.243,5.0,16.068,14.786,0.0
12,22.0,713,True,1059.0,1274.0,44.12115105125,2.98574116875,3529.6920841,238.8592935,103.39022555333332,Public Transport,56.28,0.0,11.25,41.4,3.63,2.76,0.243,8.0,10.68,7.678,0.0
13,45.0,713,True,1266.0,1274.0,51.245595885,2.98574116875,4099.6476708,238.8592935,107.29800372041666,Public Transport,53.07,0.0,13.22,36.22,3.63,2.415,0.243,8.0,11.455,8.797,0.0
14,11.0,726,True,1557.0,184.0,11.098961062499999,1.93204646625,887.916885,154.5637173,86.46434086208333,Public Transport,74.18,0.0,59.27,13.33,1.58,0.889,0.105,4.0,30.908,29.914,0.0
15,296.0,752,True,1191.0,1718.0,2.75881109625,5.48546768625,220.7048877,438.8374149,24.177612115833334,Public Transport,15.93,0.0,8.87,3.35,3.72,0.223,0.248,7.0,6.751,6.279,0.0
16,47.0,755,True,776.0,675.0,97.11262355875,4.986800445,7769.0098847,398.9440356,196.31609067041668,Public Transport,95.55,0.0,42.07,47.9,5.58,3.193,0.372,7.0,37.445,33.88,0.0
17,495.0,740,True,496.0,502.0,6.00061525875,1.58106478375,480.0492207,126.4851827,20.2816800425,Public Transport,15.18,0.0,8.95,4.58,1.65,0.305,0.11,16.0,5.09,4.674,0.0
18,7.0,755,True,727.0,1825.0,62.151811695000006,7.830649504999999,4972.1449356,626.4519604,160.2824612,Public Transport,90.3,1.0,41.58,43.13,5.58,2.876,0.372,1.0,18.56,15.312,18.98
19,37980.0,736,True,46.0,47.0,2.9550068275,8.6997604025,236.4005462,695.9808322,22.771433896666668,Public Transport,11.12,0.0,0.62,3.35,7.15,0.223,0.477,65.0,1.007,0.307,0.0
20,33.0,745,True,1200.0,1096.0,23.7965468625,5.5041516,1903.723749,440.332128,54.850698462500006,Public Transport,25.55,0.0,2.0,18.9,4.65,1.26,0.309,39.0,3.025,1.455,0.0
21,1827.0,717,True,893.0,249.0,7.378180111250001,,590.2544089,,,Public Transport,17.08,0.0,12.57,3.0,1.52,0.2,0.101,32.0,7.634,7.333,0.0
22,828.0,731,True,1103.0,1108.0,37.666453515,5.1048154875,3013.3162812,408.385239,80.3712690025,Public Transport,37.6,0.0,6.25,26.02,5.33,1.734,0.355,32.0,7.94,5.851,0.0
23,10645.0,728,True,63.0,128.0,0.2819079325,3.70650770625,22.5526346,296.5206165,10.855082305416666,Public Transport,6.87,0.0,2.52,0.73,3.62,0.049,0.241,18.0,1.285,0.995,0.0
24,25.0,716,True,33541.0,1078.0,35.595885894999995,0.9184603362500001,2847.6708716,73.4768269,86.68101289791666,Public Transport,50.17,0.0,29.43,19.8,0.93,1.32,0.062,35.0,23.185,21.803,0.0
25,125.0,716,True,33541.0,1078.0,3.51549720625,0.9184603362500001,281.2397765,73.4768269,39.0339575425,Public Transport,34.6,0.0,29.43,4.23,0.93,0.283,0.062,30.0,22.148,21.803,0.0
26,440.0,755,True,784.0,675.0,3.1005035199999997,4.986800445,248.0402816,398.9440356,51.070637298333324,Public Transport,44.32,0.0,36.62,2.12,5.58,0.141,0.372,7.0,28.275,27.762,0.0
27,91.0,752,True,1817.0,1718.0,4.01548744375,5.48546768625,321.2389955,438.8374149,23.417621796666666,Public Transport,13.92,0.0,6.32,3.88,3.72,0.259,0.248,56.0,4.74,4.233,0.0
28,17603.0,716,True,1073.0,1078.0,2.8749088825,0.9184603362500001,229.9927106,73.4768269,18.210035885416666,Public Transport,14.42,0.0,11.33,2.15,0.93,0.143,0.062,35.0,9.176,8.971,0.0
29,23.0,716,True,1836.0,1078.0,30.595210406249997,0.9184603362500001,2447.6168325,73.4768269,93.63033740916667,Public Transport,62.12,0.0,44.12,17.07,0.93,1.138,0.062,15.0,30.015,28.815,0.0
30,36.0,752,True,1191.0,1718.0,9.381552786250001,5.48546768625,750.5242229,438.8374149,34.70035380583333,Public Transport,19.83,0.0,8.87,7.25,3.72,0.483,0.248,7.0,7.011,6.279,0.0
31,13139.0,736,True,30.0,2048.0,10.88420359875,4.7894721562500004,870.7362879,383.1577725,28.490342421666668,Public Transport,12.82,0.0,2.03,6.35,4.43,0.423,0.296,59.0,1.975,1.256,0.0
32,100.0,713,True,1706.0,1689.0,2.15254951875,0.7462701862500001,172.2039615,59.7016149,24.598819705,Public Transport,21.7,0.0,19.42,1.8,0.48,0.12,0.032,5.0,11.753,11.601,0.0
33,167.0,748,True,2106.0,2259.0,1.550153175,2.96384893875,124.012254,237.1079151,15.697335447083333,Public Transport,11.18,0.0,7.38,1.5,2.3,0.1,0.154,19.0,6.219,5.965,0.0
34,934.0,727,True,1479.0,1375.0,5.13797641375,1.6399802562499999,411.0381131,131.1984205,22.82795667,Public Transport,16.05,0.0,10.08,4.68,1.28,0.312,0.086,48.0,7.268,6.871,0.0
35,5.0,726,True,1564.0,197.0,20.7173559775,1.7622562262500001,1657.3884782,140.9804981,60.21294553708333,Public Transport,37.73,0.0,27.15,9.0,1.58,0.601,0.105,27.0,14.338,13.632,0.0
36,1543.0,713,True,1018.0,1689.0,6.0871684075,0.7462701862500001,486.9734726,59.7016149,15.350105260416667,Public Transport,8.52,0.0,2.1,5.93,0.48,0.396,0.032,50.0,2.049,1.622,0.0
37,1909.0,755,True,634.0,675.0,3.97742916375,4.986800445,318.1943331,398.9440356,17.530896275416666,Public Transport,8.57,0.0,1.87,3.42,3.28,0.228,0.219,45.0,2.253,1.806,0.0
38,81.0,716,True,1392.0,1078.0,7.4956466187499995,0.9184603362500001,599.6517295,73.4768269,20.84744028833333,Public Transport,12.43,0.0,7.45,4.05,0.93,0.27,0.062,65.0,4.738,4.405,0.0
39,32.0,716,True,1529.0,1078.0,4.746733186249999,0.9184603362500001,379.7386549,73.4768269,29.065193522499996,Public Transport,23.4,0.0,18.45,4.02,0.93,0.267,0.062,31.0,12.278,11.949,0.0
40,20.0,726,True,1340.0,197.0,8.75249743375,1.7622562262500001,700.1997947,140.9804981,46.864753660000005,Public Transport,37.38,0.0,32.82,2.98,1.58,0.199,0.105,5.0,11.659,11.355,0.0
41,247.0,717,True,890.0,249.0,2.22072758625,,177.6582069,,,Public Transport,18.88,0.0,14.88,2.48,1.52,0.165,0.101,32.0,9.118,8.852,0.0
42,1245.0,716,True,1523.0,1078.0,3.34813628,0.9184603362500001,267.8509024,73.4768269,30.49992994958333,Public Transport,26.23,0.0,23.63,1.67,0.93,0.111,0.062,31.0,17.053,16.879,0.0
43,25409.0,732,True,827.0,2049.0,0.48154529999999995,1.4382949875,38.523624,115.063599,6.703173620833333,Public Transport,4.78,0.0,2.28,0.87,1.63,0.058,0.108,43.0,0.99,0.824,0.0
44,76.0,726,True,1334.0,197.0,1.6109668549999998,1.7622562262500001,128.8773484,140.9804981,42.55655641458333,Public Transport,40.22,0.0,36.85,1.78,1.58,0.119,0.105,5.0,13.732,13.509,0.0
45,35.0,739,True,1422.0,1425.0,8.7827784675,7.551894625,702.6222774,604.15157,27.4846730925,Public Transport,11.15,0.0,1.17,7.82,2.17,0.521,0.144,23.0,3.886,3.22,0.0
46,7.0,755,True,659.0,675.0,10.4385343175,4.986800445,835.0827454,398.9440356,41.1753347625,Public Transport,25.75,0.0,18.08,4.38,3.28,0.292,0.219,8.0,13.131,12.62,0.0
47,487.0,726,True,1567.0,197.0,1.6271509600000003,1.7622562262500001,130.1720768,140.9804981,30.80607385291667,Public Transport,27.42,0.0,23.92,1.92,1.58,0.128,0.105,27.0,11.716,11.483,0.0
48,544.0,740,True,337788.0,505.0,27.7247168225,2.124353215,2217.9773458,169.9482572,46.63240337083333,Public Transport,16.78,0.0,2.35,12.48,1.95,0.833,0.13,18.0,2.981,2.018,0.0
49,33744.0,726,True,196.0,197.0,4.25314280625,1.7622562262500001,340.2514245,140.9804981,10.998732365833334,Public Transport,4.98,0.0,1.02,2.38,1.58,0.159,0.105,121.0,0.861,0.596,0.0
50,900.0,726,True,1361.0,184.0,4.864256125,1.93204646625,389.14049,154.5637173,15.94630259125,Public Transport,9.15,0.0,3.82,3.5,1.83,0.233,0.123,75.0,2.356,1.999,0.0
51,66.0,726,True,1336.0,197.0,2.8883379062500003,1.7622562262500001,231.0670325,140.9804981,42.933927465833335,Public Transport,39.32,0.0,35.25,2.48,1.58,0.165,0.105,5.0,12.997,12.727,0.0
52,608.0,748,True,2109.0,2259.0,0.40829834624999994,2.96384893875,32.6638677,237.1079151,16.688813951666667,Public Transport,13.32,0.0,10.82,0.2,2.3,0.014,0.154,30.0,7.267,7.099,0.0
53,48.0,731,True,1109.0,1108.0,12.053583858749999,5.1048154875,964.2867087,408.385239,31.74173267958333,Public Transport,14.58,0.0,1.08,8.17,5.33,0.544,0.355,32.0,1.674,0.775,0.0
54,365.0,716,True,1536.0,1078.0,0.86095978875,0.9184603362500001,68.8767831,73.4768269,12.862753458333334,Public Transport,11.08,0.0,9.33,0.82,0.93,0.055,0.062,60.0,5.893,5.777,0.0
55,53.0,716,True,331603.0,1078.0,35.40212754125,0.9184603362500001,2832.1702033,73.4768269,65.23725454416667,Public Transport,28.92,0.0,12.1,15.88,0.93,1.058,0.062,43.0,8.343,7.222,0.0
56,58.0,747,True,2232.0,1428.0,1.21346450125,0.6867710524999999,97.0771601,54.9416842,25.65023555375,Public Transport,23.75,0.0,21.28,1.55,0.92,0.103,0.061,15.0,12.047,11.883,0.0
57,512.0,728,True,149.0,151.0,1.08883795875,1.6741110225,87.1070367,133.9288818,6.546282314583333,Public Transport,3.78,0.0,1.73,0.9,1.15,0.06,0.077,17.0,1.206,1.07,0.0
58,6159.0,726,True,179.0,197.0,5.12855934625,1.7622562262500001,410.2847477,140.9804981,20.274148905833332,Public Transport,13.38,0.0,7.28,4.52,1.58,0.301,0.105,53.0,4.578,4.171,0.0
59,30.0,729,True,999.0,1446.0,43.771411756250004,5.18588491375,3501.7129405,414.8707931,85.07396333666667,Public Transport,36.12,0.0,15.05,16.57,4.5,1.105,0.3,15.0,11.115,9.71,0.0
60,925.0,749,True,25.0,26.0,14.635807563750001,0.28810997125000004,1170.8646051,23.0487977,28.273917535000002,Public Transport,13.35,0.0,2.02,10.92,0.42,0.728,0.027,70.0,1.51,0.755,0.0
61,1185.0,749,True,2150.0,26.0,1.05851567875,0.28810997125000004,84.6812543,23.0487977,15.49662565,Public Transport,14.15,0.0,12.87,0.87,0.42,0.058,0.027,28.0,3.858,3.773,0.0
62,2381.0,740,True,1676.0,502.0,12.14552100375,1.58106478375,971.6416803,126.4851827,27.74325245416667,Public Transport,14.02,0.0,1.95,10.42,1.65,0.695,0.11,17.0,1.746,0.941,0.0
63,3761.0,740,True,1677.0,502.0,14.280468250000002,1.58106478375,1142.43746,126.4851827,25.844866367083334,Public Transport,10.75,0.0,7.42,1.68,1.65,0.113,0.11,22.0,3.46,3.237,0.0
64,30.0,726,True,1348.0,197.0,53.8101867725,1.7622562262500001,4304.8149418,140.9804981,104.30577633208333,Public Transport,48.73,0.0,15.25,31.9,1.58,2.126,0.105,42.0,8.866,6.635,0.0
65,45.0,716,True,1394.0,1078.0,5.4229442325,0.9184603362500001,433.8355386,73.4768269,17.758071235416665,Public Transport,11.42,0.0,4.12,6.37,0.93,0.424,0.062,65.0,3.019,2.532,0.0
66,50.0,716,True,1388.0,1078.0,1.8441773824999999,0.9184603362500001,147.5341906,73.4768269,17.879304385416667,Public Transport,15.12,0.0,12.83,1.35,0.93,0.09,0.062,30.0,8.74,8.587,0.0
67,43.0,716,True,2174.0,1078.0,30.140410107500003,0.9184603362500001,2411.2328086,73.4768269,70.40887044375,Public Transport,39.35,0.0,25.53,12.88,0.93,0.859,0.062,34.0,19.1,18.178,0.0
68,28.0,753,True,1505.0,1507.0,36.414648746249995,6.24122323125,2913.1718997,499.2978585,60.43920531083333,Public Transport,17.78,0.0,2.8,11.33,3.65,0.756,0.243,32.0,3.227,2.228,0.0
69,10312.0,728,True,61.0,128.0,0.8653357937499999,3.70650770625,69.2268635,296.5206165,15.738510166666668,Public Transport,11.17,0.0,6.73,0.82,3.62,0.055,0.241,18.0,3.751,3.455,0.0
70,53.0,731,True,1107.0,1108.0,3.624252665,5.1048154875,289.9402132,408.385239,19.162401485833335,Public Transport,10.43,0.0,2.37,2.73,5.33,0.182,0.355,32.0,2.297,1.76,0.0
71,155.0,752,True,1688.0,1112.0,9.50030958125,7.19423730875,760.0247665,575.5389847,35.16121355666667,Public Transport,18.47,0.0,2.38,10.58,5.5,0.706,0.367,99.0,2.35,1.277,0.0
72,372.0,750,True,1237.0,220863.0,3.8883794924999995,1.43194523875,311.0703594,114.5556191,27.23699139791667,Public Transport,21.92,0.0,18.48,3.03,0.4,0.202,0.027,8.0,11.714,11.485,0.0
73,787.0,745,True,1091.0,1096.0,1.97987401625,5.5041516,158.3899213,440.332128,20.567358949583333,Public Transport,13.08,0.0,6.78,1.65,4.65,0.11,0.309,32.0,6.566,6.147,0.0
74,33.0,716,True,1536.0,1078.0,9.93493330375,0.9184603362500001,794.7946643,73.4768269,29.570060306666665,Public Transport,18.72,0.0,9.33,8.45,0.93,0.563,0.062,64.0,6.402,5.777,0.0
75,22.0,727,True,1413.0,2280.0,29.231624,1.67989424,2338.52992,134.3915392,52.678184906666665,Public Transport,21.77,0.0,4.82,15.67,1.28,1.044,0.086,33.0,5.122,3.992,0.0
