Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
1,1559.0,616,False,,,583.83122986625,1.72,46706.4983893,114.0,Calculado,Mapeado,585.5512298662501,0.0,0.0,0.152,0.0,0.0,0.0,0.57,1.72,0.037,0.114,2.28,585.5512298662501,585.5512298662501
2,25.0,579,True,582.0,610.0,10.80373937125,0.6942051225,864.2991497,55.5364098,Calculado,Calculado,13.017944493749999,1.52,0.0,1.523,0.929,0.0,18.0,8.17,0.73,0.545,0.049,10.42,13.017944493749999,13.017944493749999
3,42.0,675,True,1390.0,1392.0,6.440452806250001,6.75391609125,515.2362245,540.3132873,Calculado,Calculado,15.2243688975,2.03,0.0,2.207,1.369,0.0,75.0,7.05,5.52,0.47,0.368,14.6,15.2243688975,15.2243688975
4,22.0,569,True,1218.0,1096.0,24.44108348625,5.5041516,1955.2866789,440.332128,Calculado,Calculado,33.495235086250005,3.55,0.0,3.335,2.514,0.0,38.0,7.68,4.65,0.512,0.309,15.88,33.495235086250005,33.495235086250005
5,2272.0,620,False,,,273.421841975,2.48,21873.747358,166.0,Calculado,Mapeado,275.901841975,0.0,0.0,0.343,0.0,0.0,0.0,2.65,2.48,0.177,0.166,5.13,275.901841975,275.901841975
6,1258.0,694,True,2093.0,2094.0,5.9595002575,2.64777834875,476.7600206,211.8222679,Calculado,Calculado,9.53727860625,0.93,0.0,1.007,0.521,0.0,96.0,5.45,1.83,0.363,0.123,8.22,9.53727860625,9.53727860625
7,102.0,641,True,748.0,750.0,33.82070695625,2.82428233625,2705.6565565,225.9425869,Calculado,Calculado,39.2749892925,2.63,0.0,3.882,2.588,0.0,7.0,16.08,3.33,1.072,0.222,22.05,39.2749892925,39.2749892925
8,194.0,665,False,,,653.8116646037499,2.23,52304.9331683,149.0,Calculado,Mapeado,656.04166460375,0.0,0.0,0.467,0.0,0.0,0.0,4.78,2.23,0.319,0.149,7.02,656.04166460375,656.04166460375
9,52.0,689,True,1013.0,1016.0,62.68729208250001,1.48626862375,5014.9833666,118.9014899,Calculado,Calculado,68.59356070625,4.42,0.0,7.61,4.452,0.0,55.0,45.75,1.63,3.05,0.108,51.8,68.59356070625,68.59356070625
10,24.0,515,True,23.0,26.0,3.46760101625,0.28810997125,277.4080813,23.0487977,Calculado,Calculado,8.0557109875,4.3,0.0,1.767,1.608,0.0,40.0,1.98,0.42,0.132,0.027,6.7,8.0557109875,8.0557109875
