Zona_Origen;Poblacion_Origen;Zona_Destino;Usa_Transporte_Publico;Parada_Origen;Parada_Destino;Tiempo_Acceso_Minutos;Tiempo_Salida_Minutos;Distancia_Acceso_Metros;Distancia_Salida_Metros;Tiempo_Viaje_Total_Minutos;Tiempo_Trayecto_Minutos;Numero_Transbordos;Distancia_Viaje_Total_Km;Distancia_Trayecto_Km;Tiempo_Espera_Transbordo_Minutos;Frecuencia_Servicio
1;1559;616;False;;;0.57;1.72;37.00;114.00;2.28;0;0;0.152;0;0;0
2;25;579;True;582;610;10.80;0.69;864.30;55.54;13.02;1.52;0;1.523;0.929;0;18
3;42;675;True;1390;1392;6.44;6.75;515.24;540.31;15.22;2.03;0;2.207;1.369;0;75
4;22;569;True;1218;1096;24.44;5.50;1955.29;440.33;33.50;3.55;0;3.335;2.514;0;38
5;2272;620;False;;;2.65;2.48;177.00;166.00;5.13;0;0;0.343;0;0;0
6;1258;694;True;2093;2094;5.96;2.65;476.76;211.82;9.54;0.93;0;1.007;0.521;0;96
7;102;641;True;748;750;33.82;2.82;2705.66;225.94;39.27;2.63;0;3.882;2.588;0;7
8;194;665;False;;;4.78;2.23;319.00;149.00;7.02;0;0;0.467;0;0;0
9;52;689;True;1013;1016;62.69;1.49;5014.98;118.90;68.59;4.42;0;7.61;4.452;0;55
10;24;515;True;23;26;3.47;0.29;277.41;23.05;8.06;4.3;0;1.767;1.608;0;40
11;34;662;True;1284;1029;28.67;1.02;2293.27;81.98;33.02;3.33;0;3.239;2.086;0;5
12;22;662;True;1025;1029;44.34;1.02;3547.39;81.98;49.05;3.68;0;6.528;3.698;0;9
13;45;628;True;1266;1271;51.25;0.89;4099.65;70.80;59.30;7.17;0;7.497;5.025;0;8
14;11;692;True;1557;1570;11.10;2.47;887.92;164.00;15.32;1.75;0;2.785;1.731;0;4
15;296;653;False;;;3.03;4.32;202.00;288.00;7.35;0;0;0.49;0;0;0
16;47;641;True;776;750;97.11;2.82;7769.01;225.94;104.02;4.08;0;7.975;4.56;0;7
17;495;574;True;511;512;5.91;0.83;472.43;66.47;8.27;1.53;0;1.151;0.788;0;84
18;7;631;True;2186;804;54.71;11.68;4376.84;934.54;73.76;7.37;0;6.885;3.937;0;2
19;37980;561;True;46;66;2.96;0.48;236.40;38.53;5.92;2.48;0;1.406;1.16;0;65
20;33;569;True;1200;1096;23.80;5.50;1903.72;440.33;31.30;2;0;3.025;1.455;0;39
21;1827;617;True;893;894;7.38;1.40;590.25;111.80;9.30;0.52;0;0.791;0.466;0;46
22;828;688;True;1103;1105;37.67;1.31;3013.32;104.46;40.85;1.88;0;3.882;2.074;0;32
23;10645;576;True;63;128;0.28;3.71;22.55;296.52;6.51;2.52;0;1.285;0.995;0;18
24;25;707;True;33541;1520;35.60;2.40;2847.67;192.34;39.50;1.5;0;3.085;1.697;0;35
25;125;707;True;33541;1520;3.52;2.40;281.24;192.34;7.42;1.5;0;2.048;1.697;0;35
26;440;641;True;113250;750;2.82;2.82;225.33;225.94;6.99;1.35;0;1.898;1.535;0;7
27;91;684;True;1815;1816;3.65;0.97;291.97;77.34;5.10;0.48;0;0.846;0.499;0;4
28;17603;562;True;1011;1679;2.14;0.91;171.57;73.19;3.84;0.78;0;0.695;0.525;0;87
29;23;693;True;1835;2307;30.64;2.15;2451.36;171.62;35.02;2.23;0;2.622;1.453;0;15
30;36;653;False;;;7.15;4.32;476.00;288.00;11.47;0;0;0.764;0;0;0
31;13139;561;True;30;31;10.88;3.16;870.74;252.93;14.97;0.92;0;1.031;0.383;0;33
32;100;685;False;;;1.80;0.50;120.00;34.00;2.30;0;0;0.154;0;0;0
33;167;676;True;2106;2116;1.55;3.05;124.01;244.15;7.27;2.67;0;2.71;2.424;0;19
34;934;616;True;1479;1475;5.14;2.16;411.04;172.43;11.71;4.42;0;3.506;3.08;0;48
35;5;627;True;1564;1567;20.72;1.60;1657.39;127.94;24.84;2.52;0;2.774;2.149;0;31
36;1543;689;True;1066;1068;5.08;0.94;406.02;75.34;8.57;2.55;0;2.593;2.215;0;94
37;1909;622;False;;;2.15;4.15;143.00;276.00;6.30;0;0;0.42;0;0;0
38;81;675;False;;;4.05;5.52;270.00;368.00;9.57;0;0;0.638;0;0;0
39;32;623;False;;;3.88;0.38;259.00;26.00;4.27;0;0;0.285;0;0;0
40;20;701;True;1340;1344;8.75;2.05;700.20;164.40;16.26;5.45;0;2.997;2.764;0;10
41;247;706;True;844;846;2.01;1.11;161.19;88.44;4.22;1.1;0;1.121;0.892;0;45
42;1245;624;False;;;1.60;1.62;107.00;108.00;3.22;0;0;0.215;0;0;0
43;25409;515;True;827;3;0.48;5.02;38.52;401.99;8.06;2.55;0;1.267;0.943;0;10
44;76;708;True;1322;97126;1.57;0.12;125.22;9.30;4.25;2.57;0;2.147;2.005;0;10
45;35;704;True;1422;1425;8.78;1.84;702.62;147.26;11.79;1.17;0;3.867;3.22;0;23
46;7;696;True;659;661;10.44;3.09;835.08;247.26;15.80;2.27;0;2.442;1.888;0;21
47;487;627;False;;;1.58;0.43;106.00;29.00;2.02;0;0;0.134;0;0;0
48;544;677;True;447;448;16.12;2.54;1289.83;203.40;19.84;1.17;0;1.262;0.875;0;51
49;33744;566;True;186;1351;6.39;1.18;510.88;94.18;9.44;1.88;0;1.086;0.834;0;93
50;900;511;True;1356;1992;4.88;1.04;390.69;83.16;11.09;5.17;0;2.764;2.474;0;110
51;66;708;True;1320;97126;2.85;0.12;228.10;9.30;6.95;3.98;0;2.977;2.788;0;10
52;608;626;False;;;0.20;1.18;14.00;78.00;1.38;0;0;0.092;0;0;0
53;48;652;True;1083;1085;11.29;0.83;903.17;66.08;13.49;1.37;0;1.822;1.178;0;32
54;365;675;True;1536;1392;0.86;6.75;68.88;540.31;9.19;1.58;0;1.794;1.371;0;75
55;53;583;True;1538;1531;35.28;1.13;2822.57;90.08;41.93;5.52;0;4.797;3.688;0;47
56;58;616;True;2232;1475;1.21;2.16;97.08;172.43;16.59;13.22;0;8.358;8.141;0;15
57;512;576;True;149;151;1.09;1.67;87.11;133.93;4.49;1.73;0;1.206;1.07;0;17
58;6159;563;False;;;2.32;0.17;155.00;11.00;2.48;0;0;0.166;0;0;0
59;30;593;True;983;978;43.60;1.99;3488.34;159.57;51.72;6.12;0;6.604;5.386;0;47
60;925;589;True;37;39;5.80;4.87;463.86;389.59;12.10;1.43;0;1.277;0.835;0;161
61;1185;589;True;2150;39;1.06;4.87;84.68;389.59;9.23;3.3;0;1.211;1.007;0;151
62;2381;574;True;466;495;2.01;0.86;160.78;68.65;5.07;2.2;0;2.474;2.289;0;47
63;3761;574;False;;;8.58;0.58;573.00;39.00;9.17;0;0;0.611;0;0;0
64;30;701;True;1307;1311;56.06;1.80;4484.70;144.10;60.68;2.82;0;4.284;2.167;0;51
65;45;636;False;;;6.37;3.02;424.00;201.00;9.38;0;0;0.625;0;0;0
66;50;562;True;1405;262540;2.22;2.89;177.37;231.30;8.56;3.45;0;1.892;1.637;0;33
67;43;624;True;2174;1523;30.14;1.43;2411.23;114.07;33.44;1.87;0;2.272;1.299;0;35
68;28;638;True;1490;1491;37.09;0.99;2967.43;79.14;41.01;2.93;0;2.669;1.901;0;31
69;10312;564;True;61;69146;0.87;0.78;69.23;62.49;1.93;0.28;0;0.271;0.16;0;18
70;53;652;False;;;1.63;0.67;109.00;44.00;2.30;0;0;0.153;0;0;0
71;155;656;True;1631;1633;9.44;1.68;755.58;113.00;13.69;2.57;0;2.325;1.493;0;18
72;372;632;False;;;3.03;0.75;202.00;50.00;3.78;0;0;0.252;0;0;0
73;787;640;True;1101;1102;1.03;2.39;82.23;190.95;4.26;0.85;0;0.826;0.62;0;32
74;33;623;True;1537;1544;7.47;0.77;597.61;61.30;16.04;7.8;0;6.489;6.089;0;32
75;22;665;True;1413;1417;29.23;1.65;2338.53;131.61;33.85;2.97;0;4.468;3.355;0;33
