Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
1,1559.0,718,True,1475,278,1.4780678225,1.32,118.2454258,88.0,Calculado,Mapeado,57.6680678225,54.87,1.0,40.326,40.2,3.42,28.0,0.57,1.32,0.037,0.088,56.75,57.6680678225,61.0880678225
2,25.0,718,True,610,284,10.381505725,2.53,830.520458,169.0,Calculado,Mapeado,39.511505725000006,26.6,0.0,15.709,15.198,0.0,36.0,5.13,2.53,0.343,0.169,34.27,39.511505725000006,39.511505725000006
3,42.0,718,True,1390,278,6.440452806250001,1.32,515.2362245,88.0,Calculado,Mapeado,53.49045280625,45.73,1.0,24.342,23.309,2.27,41.0,14.17,1.32,0.945,0.088,61.22,53.49045280625,55.76045280625
4,22.0,718,True,1201,2064,24.197265755,2.5,1935.7812604,166.0,Calculado,Mapeado,93.897265755,67.2,1.0,39.071,38.393,5.47,12.0,7.68,2.5,0.512,0.166,77.38,93.897265755,99.367265755
5,2272.0,718,True,162,284,4.2985756425,2.53,343.8860514,169.0,Calculado,Mapeado,42.2085756425,35.38,1.0,15.897,15.552,0.48,45.0,2.65,2.53,0.177,0.169,40.57,42.2085756425,42.6885756425
6,1258.0,718,True,2130,278,9.106720335,2.5,728.5376268,166.0,Calculado,Mapeado,86.426720335,74.82,2.0,28.011,27.385,22.27,32.0,6.9,2.5,0.46,0.166,84.22,86.426720335,108.696720335
7,102.0,718,True,786,278,30.85243540125,4.08,2468.1948321,272.0,Calculado,Mapeado,132.96243540125002,98.03,1.0,52.682,51.323,12.52,7.0,16.32,4.08,1.087,0.272,118.43,132.96243540125002,145.48243540125003
8,194.0,718,True,1376,284,8.880122465,2.53,710.4097972,169.0,Calculado,Mapeado,46.390122465,34.98,1.0,35.901,35.197,1.05,53.0,8.02,2.53,0.535,0.169,45.53,46.390122465,47.440122464999995
9,52.0,718,True,1071,284,62.69872717,2.53,5015.8981736,169.0,Calculado,Mapeado,113.57872717000001,48.35,2.0,35.807,32.589,4.57,43.0,45.75,2.53,3.05,0.169,96.63,113.57872717000001,118.14872717
10,24.0,718,True,8,2064,4.60397649,2.5,368.3181192,166.0,Calculado,Mapeado,23.78397649,16.68,0.0,9.579,9.222,0.0,15.0,2.87,2.5,0.191,0.166,22.05,23.78397649,23.78397649
11,34.0,718,True,1294,278,22.08126405125,1.32,1766.5011241,88.0,Calculado,Mapeado,130.12126405125,106.72,3.0,59.256,58.129,19.6,5.0,15.58,1.32,1.039,0.088,123.62,130.12126405125,149.72126405125
12,22.0,718,True,1059,278,44.12115105125,1.32,3529.6920841,88.0,Calculado,Mapeado,130.76115105124998,85.32,2.0,55.848,53.0,15.87,8.0,41.4,1.32,2.76,0.088,128.03,130.76115105124998,146.63115105125
13,45.0,718,True,1266,284,51.245595885,2.53,4099.6476708,169.0,Calculado,Mapeado,131.475595885,77.7,2.0,56.219,53.635,2.7,10.0,36.22,2.53,2.415,0.169,116.45,131.475595885,134.17559588499998
14,11.0,718,True,1557,278,11.0989610625,1.32,887.916885,88.0,Calculado,Mapeado,140.3189610625,127.9,3.0,52.989,52.012,28.17,4.0,13.33,1.32,0.889,0.088,142.55,140.3189610625,168.48896106249998
15,296.0,718,True,1191,278,2.75881109625,2.5,220.7048877,166.0,Calculado,Mapeado,64.42881109625,59.17,1.0,29.963,29.574,0.7,2.0,3.35,2.5,0.223,0.166,65.02,64.42881109625,65.12881109625
16,47.0,718,True,776,278,97.11262355875,4.08,7769.0098847,272.0,Calculado,Mapeado,206.39262355875002,105.2,1.0,62.297,58.832,12.52,7.0,47.9,4.08,3.193,0.272,157.18,206.39262355875002,218.91262355875003
17,495.0,718,True,511,2064,5.90538161125,2.5,472.4305289,166.0,Calculado,Mapeado,32.62538161125,24.22,0.0,15.568,15.103,0.0,13.0,4.48,2.5,0.299,0.166,31.2,32.62538161125,32.62538161125
18,7.0,718,True,727,278,62.151811695000006,4.08,4972.1449356,272.0,Calculado,Mapeado,170.95181169500003,104.72,2.0,43.412,40.265,31.5,5.0,43.13,4.08,2.876,0.272,151.93,170.95181169500003,202.45181169500003
19,37980.0,718,True,2088,2064,11.19846875,2.5,895.8775,166.0,Calculado,Mapeado,36.098468749999995,22.4,0.0,13.044,12.167,0.0,29.0,10.67,2.5,0.711,0.166,35.57,36.098468749999995,36.098468749999995
20,33.0,718,True,1200,2064,23.7965468625,2.5,1903.723749,166.0,Calculado,Mapeado,95.3665468625,69.07,1.0,40.935,39.509,5.47,12.0,18.9,2.5,1.26,0.166,90.47,95.3665468625,100.8365468625
21,1827.0,718,True,893,284,7.378180111250001,4.08,590.2544089,272.0,Calculado,Mapeado,24.13818011125,12.68,0.0,9.791,9.319,0.0,14.0,3.0,4.08,0.2,0.272,19.77,24.13818011125,24.13818011125
22,828.0,718,True,1103,284,37.666453515,2.53,3013.3162812,169.0,Calculado,Mapeado,107.326453515,67.13,2.0,48.504,46.601,4.57,41.0,26.02,2.53,1.734,0.169,95.68,107.326453515,111.89645351499999
