Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
1,1559.0,727,True,1475.0,1375.0,1.4780678225,1.63998025625,118.2454258,131.1984205,Calculado,Calculado,8.03804807875,4.92,0.0,3.913,3.79,0.0,48.0,0.57,1.28,0.037,0.086,6.77,8.03804807875,8.03804807875
2,25.0,517,True,582.0,587.0,10.80373937125,0.92716684375,864.2991497,74.1733475,Calculado,Calculado,21.760906215,10.03,0.0,5.807,5.425,0.0,102.0,5.13,0.58,0.343,0.039,15.75,21.760906215,21.760906215
3,42.0,716,True,1390.0,1078.0,6.440452806250001,0.91846033625,515.2362245,73.4768269,Calculado,Calculado,17.3089131425,9.95,0.0,6.307,5.775,0.0,63.0,7.05,0.93,0.47,0.062,17.93,17.3089131425,17.3089131425
4,22.0,719,True,1218.0,1096.0,24.44108348625,6.3014092375,1955.2866789,504.112739,Calculado,Calculado,34.29249272375,3.55,0.0,3.376,2.514,0.0,38.0,7.68,5.27,0.512,0.351,16.5,34.29249272375,34.29249272375
5,2272.0,511,True,171.0,1993.0,4.30644740875,0.91754787125,344.5157927,73.4038297,Calculado,Calculado,10.04399528,4.82,0.0,2.793,2.569,0.0,104.0,2.75,0.62,0.184,0.041,8.18,10.04399528,10.04399528
6,1258.0,737,True,2095.0,2096.0,6.802702340000001,19.8202749175,544.2161872,1585.6219934,Calculado,Calculado,28.0029772575,1.38,0.0,1.389,0.456,0.0,80.0,5.02,8.98,0.335,0.598,15.38,28.0029772575,28.0029772575
7,102.0,505,True,786.0,251.0,30.85243540125,3.48591390375,2468.1948321,278.8731123,Calculado,Calculado,104.05834930500001,69.72,2.0,51.214,49.893,0.53,7.0,16.32,3.5,1.087,0.233,89.53,104.05834930500001,104.58834930500001
8,194.0,727,True,1417.0,2280.0,8.948042265,1.67989424,715.8433812,134.3915392,Calculado,Calculado,11.377936505,0.75,0.0,1.257,0.636,0.0,15.0,8.02,1.28,0.535,0.086,10.05,11.377936505,11.377936505
9,52.0,731,True,1013.0,977.0,62.68729208250001,6.267915390000001,5014.9833666,501.4332312,Calculado,Calculado,78.68520747250001,9.73,0.0,11.014,7.629,0.0,54.0,45.75,5.03,3.05,0.335,60.52,78.68520747250001,78.68520747250001
10,24.0,515,True,23.0,26.0,3.46760101625,0.28810997125,277.4080813,23.0487977,Calculado,Calculado,8.0557109875,4.3,0.0,1.767,1.608,0.0,40.0,1.98,0.42,0.132,0.027,6.7,8.0557109875,8.0557109875
