Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
1,1559.0,902,True,1475.0,209.0,1.4780678225,1.58,118.2454258,106.0,Calculado,Mapeado,42.1380678225,39.08,1.0,35.836,35.692,1.72,28.0,0.57,1.58,0.037,0.106,41.23,42.1380678225,43.8580678225
2,25.0,900,True,2212.0,271.0,5.732207485,1.57028923875,458.5765988,125.6231391,Calculado,Calculado,30.97249672375,23.67,0.0,12.616,12.189,0.0,31.0,5.13,1.27,0.343,0.085,30.07,30.97249672375,30.97249672375
3,42.0,901,True,1390.0,1078.0,6.440452806250001,0.91846033625,515.2362245,73.4768269,Calculado,Calculado,17.3089131425,9.95,0.0,6.307,5.775,0.0,63.0,7.05,0.93,0.47,0.062,17.93,17.3089131425,17.3089131425
4,22.0,904,True,1201.0,2220.0,24.197265755,0.90773412,1935.7812604,72.6187296,Calculado,Calculado,70.184999875,45.08,1.0,28.468,27.91,1.15,15.0,7.68,0.7,0.512,0.047,53.47,70.184999875,71.33499987500001
5,2272.0,901,True,171.0,1005.0,4.30644740875,1.089115005,344.5157927,87.1292004,Calculado,Calculado,14.745562413750001,9.35,0.0,6.348,6.09,0.0,119.0,2.75,1.1,0.184,0.074,13.2,14.745562413750001,14.745562413750001
6,1258.0,904,True,2130.0,1648.0,9.106720335,6.839990448749999,728.5376268,547.1992359,Calculado,Calculado,23.47671078375,7.53,0.0,6.164,5.302,0.0,6.0,6.9,6.03,0.46,0.402,20.47,23.47671078375,23.47671078375
7,102.0,902,True,786.0,209.0,30.85243540125,1.58,2468.1948321,106.0,Calculado,Mapeado,108.96243540125,76.53,2.0,50.415,49.222,8.85,7.0,16.32,1.58,1.087,0.106,94.43,108.96243540125,117.81243540125
8,194.0,901,True,1376.0,1078.0,8.880122465,0.91846033625,710.4097972,73.4768269,Calculado,Calculado,24.11858280125,14.32,0.0,20.037,19.441,0.0,34.0,8.02,0.93,0.535,0.062,23.27,24.11858280125,24.11858280125
9,52.0,901,True,1071.0,1078.0,62.69872717,0.91846033625,5015.8981736,73.4768269,Calculado,Calculado,84.49718750625,20.88,0.0,18.321,15.21,0.0,16.0,45.75,0.93,3.05,0.062,67.57,84.49718750625,84.49718750625
10,24.0,900,True,8.0,419.0,4.60397649,3.92419108875,368.3181192,313.9352871,Calculado,Calculado,22.42816757875,13.9,1.0,7.867,7.478,0.2,24.0,2.87,2.97,0.191,0.198,19.73,22.42816757875,22.62816757875
11,34.0,901,True,1294.0,1078.0,22.08126405125,0.91846033625,1766.5011241,73.4768269,Calculado,Calculado,104.57972438750001,81.58,1.0,41.072,39.97,25.35,5.0,15.58,0.93,1.039,0.062,98.1,104.57972438750001,129.92972438750002
12,22.0,901,True,1059.0,1078.0,44.12115105125,0.91846033625,3529.6920841,73.4768269,Calculado,Calculado,90.0696113875,45.03,0.0,35.684,32.862,0.0,8.0,41.4,0.93,2.76,0.062,87.37,90.0696113875,90.0696113875
13,45.0,901,True,1266.0,1078.0,51.245595885,0.91846033625,4099.6476708,73.4768269,Calculado,Calculado,104.56405622125001,52.4,0.0,36.574,34.097,0.0,8.0,36.22,0.93,2.415,0.062,89.55,104.56405622125001,104.56405622125001
14,11.0,901,True,1557.0,1004.0,11.0989610625,2.95083712375,887.916885,236.0669699,Calculado,Calculado,101.36979818625,87.32,0.0,37.937,36.928,0.0,4.0,13.33,1.8,0.889,0.12,102.45,101.36979818625,101.36979818625
15,296.0,901,True,1158.0,1005.0,2.594992795,1.089115005,207.5994236,87.1292004,Calculado,Calculado,55.13410780000001,51.45,2.0,27.636,27.36,4.65,6.0,3.03,1.1,0.202,0.074,55.58,55.13410780000001,59.78410780000001
16,47.0,902,True,776.0,209.0,97.11262355875,1.58,7769.0098847,106.0,Calculado,Mapeado,182.39262355875002,83.7,2.0,60.031,56.732,8.85,7.0,47.9,1.58,3.193,0.106,133.18,182.39262355875002,191.24262355875
