Zona_Origen,Nombre_Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
1,Abadiño-Zelaieta,1559,901,True,1475.0,1078.0,1.4780678225,0.91846033625,118.2454258,73.4768269,Calculado,Calculado,44.166528158750005,41.77,0,25.084,24.984,0.0,36,0.57,0.93,0.037,0.062,43.27,44.166528158750005,44.166528158750005
2,Abanto,25,903,True,610.0,284.0,10.381505725,2.53,830.520458,169.0,Calculado,Mapeado,39.511505725000006,26.6,0,15.709,15.198,0.0,36,5.13,2.53,0.343,0.169,34.27,39.511505725000006,39.511505725000006
3,Agarre,42,901,True,1390.0,1078.0,6.440452806250001,0.91846033625,515.2362245,73.4768269,Calculado,Calculado,17.3089131425,9.95,0,6.307,5.775,0.0,63,7.05,0.93,0.47,0.062,17.93,17.3089131425,17.3089131425
4,Agirre,22,901,True,1218.0,1078.0,24.44108348625,0.91846033625,1955.2866789,73.4768269,Calculado,Calculado,93.8595438225,68.5,2,40.391,39.817,8.3,32,7.68,0.93,0.512,0.062,77.12,93.8595438225,102.1595438225
5,Agirre-Aperribai,2272,901,True,171.0,1005.0,4.30644740875,1.089115005,344.5157927,87.1292004,Calculado,Calculado,14.745562413750001,9.35,0,6.348,6.09,0.0,119,2.75,1.1,0.184,0.074,13.2,14.745562413750001,14.745562413750001
6,Agirre-Areantza-Guzurmendi,1258,904,True,2130.0,1648.0,9.106720335,6.839990448749999,728.5376268,547.1992359,Calculado,Calculado,23.47671078375,7.53,0,6.164,5.302,0.0,6,6.9,6.03,0.46,0.402,20.47,23.47671078375,23.47671078375
7,Ahedo,102,902,True,786.0,209.0,30.85243540125,1.58,2468.1948321,106.0,Calculado,Mapeado,108.96243540125,76.53,2,50.415,49.222,8.85,7,16.32,1.58,1.087,0.106,94.43,108.96243540125,117.81243540125
8,Aita San Migel,194,901,True,1376.0,1078.0,8.880122465,0.91846033625,710.4097972,73.4768269,Calculado,Calculado,24.11858280125,14.32,0,20.037,19.441,0.0,34,8.02,0.93,0.535,0.062,23.27,24.11858280125,24.11858280125
9,Aiuria,52,901,True,1071.0,1078.0,62.69872717,0.91846033625,5015.8981736,73.4768269,Calculado,Calculado,84.49718750625,20.88,0,18.321,15.21,0.0,16,45.75,0.93,3.05,0.062,67.57,84.49718750625,84.49718750625
10,Aketxe,24,904,True,8.0,2219.0,4.60397649,0.79330144375,368.3181192,63.4641155,Calculado,Calculado,43.26727793375,37.87,1,12.834,12.581,6.65,21,2.87,0.93,0.191,0.062,41.67,43.26727793375,49.91727793375
11,Akorda,34,901,True,1294.0,1078.0,22.08126405125,0.91846033625,1766.5011241,73.4768269,Calculado,Calculado,104.57972438750001,81.58,1,41.072,39.97,25.35,5,15.58,0.93,1.039,0.062,98.1,104.57972438750001,129.92972438750002
12,Akorda-Bollar,22,901,True,1059.0,1078.0,44.12115105125,0.91846033625,3529.6920841,73.4768269,Calculado,Calculado,90.0696113875,45.03,0,35.684,32.862,0.0,8,41.4,0.93,2.76,0.062,87.37,90.0696113875,90.0696113875
