Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Numero_Transbordos,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Distancia_Viaje_Original_Km,Verificacion_Tiempo_Total,Verificacion_Distancia_Total_Km
1,1559.0,905,True,1475,2236,1.4780678225,0.63,118.2454258,42.0,Calculado,Mapeado,79.32806782249999,77.22,43.7362454258,43.576,3.0,25.93,6.0,0.57,0.63,0.037,0.042,78.42,43.655,79.32806782249999,43.7362454258
2,25.0,905,True,582,2236,10.80373937125,0.63,864.2991497,42.0,Calculado,Mapeado,88.08373937125,76.65,40.308299149700005,39.402,2.0,7.85,27.0,8.17,0.63,0.545,0.042,85.45,39.989,88.08373937125,40.308299149700005
3,42.0,905,True,1390,2236,6.440452806250001,0.63,515.2362245,42.0,Calculado,Mapeado,96.19045280625,89.12,51.7902362245,51.233,2.0,33.92,19.0,10.48,0.63,0.699,0.042,100.23,51.974,96.19045280625,51.7902362245
4,22.0,905,True,1201,17,24.197265755,9.87,1935.7812604,658.0,Calculado,Mapeado,93.467265755,59.4,36.3347812604,33.741,1.0,3.58,20.0,7.68,9.87,0.512,0.658,76.95,34.911,93.467265755,36.3347812604
5,2272.0,905,True,163,2236,7.724677269999999,0.63,617.9741816,42.0,Calculado,Mapeado,52.924677270000004,44.57,18.331974181600003,17.672,3.0,16.47,19.0,6.47,0.63,0.431,0.042,51.67,18.145,52.924677270000004,18.331974181600003
6,1258.0,905,True,2130,2236,9.106720335,0.63,728.5376268,42.0,Calculado,Mapeado,79.41672033500001,69.68,22.479537626800003,21.709,1.0,24.07,6.0,6.9,0.63,0.46,0.042,77.22,22.211,79.41672033500001,22.479537626800003
7,102.0,905,True,786,2236,30.85243540125,0.63,2468.1948321,42.0,Calculado,Mapeado,184.38243540125,152.9,68.9191948321,66.409,4.0,60.43,7.0,16.32,0.63,1.087,0.042,169.85,67.539,184.38243540125,68.9191948321
8,194.0,905,True,1376,2236,8.880122465,0.63,710.4097972,42.0,Calculado,Mapeado,80.08012246499999,70.57,39.4354097972,38.683,1.0,33.55,6.0,8.02,0.63,0.535,0.042,79.22,39.26,80.08012246499999,39.4354097972
9,52.0,905,True,1071,2236,62.69872717,0.63,5015.8981736,42.0,Calculado,Mapeado,122.87872716999999,59.55,40.2508981736,35.193,1.0,18.17,7.0,45.75,0.63,3.05,0.042,105.93,38.285,122.87872716999999,40.2508981736
10,24.0,905,True,2051,2236,9.31913780875,0.63,745.5310247,42.0,Calculado,Mapeado,32.52913780875,22.58,10.6145310247,9.827,2.0,1.83,13.0,7.4,0.63,0.493,0.042,30.62,10.363,32.52913780875,10.6145310247
11,34.0,905,True,1294,2236,22.08126405125,0.63,1766.5011241,42.0,Calculado,Mapeado,178.81126405125,156.1,61.042501124100006,59.234,2.0,56.68,4.0,15.58,0.63,1.039,0.042,172.32,60.315,178.81126405125,61.042501124100006
12,22.0,905,True,1059,2236,44.12115105125,0.63,3529.6920841,42.0,Calculado,Mapeado,152.03115105125,107.28,56.4256920841,52.854,2.0,41.47,6.0,41.4,0.63,2.76,0.042,149.32,55.655,152.03115105125,56.4256920841
13,45.0,905,True,1266,2236,51.245595885,0.63,4099.6476708,42.0,Calculado,Mapeado,159.39559588499998,107.52,58.1146476708,53.973,2.0,39.55,5.0,36.22,0.63,2.415,0.042,144.37,56.43,159.39559588499998,58.1146476708
14,11.0,905,True,1557,2236,11.0989610625,0.63,887.916885,42.0,Calculado,Mapeado,160.6089610625,148.88,63.884916885,62.955,5.0,34.22,3.0,13.33,0.63,0.889,0.042,162.85,63.886,160.6089610625,63.884916885
15,296.0,905,True,1191,2236,2.75881109625,0.63,220.7048877,42.0,Calculado,Mapeado,97.90881109624999,94.52,32.1977048877,31.935,2.0,30.37,8.0,3.35,0.63,0.223,0.042,98.5,32.2,97.90881109624999,32.1977048877
16,47.0,905,True,776,2236,97.11262355875,0.63,7769.0098847,42.0,Calculado,Mapeado,257.81262355875,160.07,81.7300098847,73.919,4.0,60.43,7.0,47.9,0.63,3.193,0.042,208.6,77.154,257.81262355875,81.7300098847
17,495.0,905,True,511,2236,5.90538161125,0.63,472.4305289,42.0,Calculado,Mapeado,60.00538161125,53.47,13.2284305289,12.714,1.0,31.87,22.0,4.48,0.63,0.299,0.042,58.58,13.056,60.00538161125,13.2284305289
18,7.0,905,True,727,2236,62.151811695000006,0.63,4972.1449356,42.0,Calculado,Mapeado,283.711811695,220.93,60.3651449356,55.351,5.0,138.17,5.0,43.13,0.63,2.876,0.042,264.7,58.269,283.711811695,60.3651449356
19,37980.0,905,True,33,2236,4.44484887,0.63,355.5879096,42.0,Calculado,Mapeado,39.924848870000005,34.85,8.1045879096,7.707,1.0,15.37,20.0,4.47,0.63,0.298,0.042,39.95,8.047,39.924848870000005,8.1045879096
20,33.0,905,True,1200,17,23.7965468625,9.87,1903.723749,658.0,Calculado,Mapeado,95.0865468625,61.42,37.418723749,34.857,1.0,3.58,22.0,18.9,9.87,1.26,0.658,90.18,36.775,95.0865468625,37.418723749
21,1827.0,905,True,893,2236,7.378180111250001,0.63,590.2544089,42.0,Calculado,Mapeado,80.63818011125,72.63,26.374254408900004,25.742,3.0,28.03,13.0,3.0,0.63,0.2,0.042,76.27,25.984,80.63818011125,26.374254408900004
22,828.0,905,True,1103,2236,37.666453515,0.63,3013.3162812,42.0,Calculado,Mapeado,121.89645351499999,83.6,52.2613162812,49.206,2.0,25.4,18.0,26.02,0.63,1.734,0.042,110.25,50.982,121.89645351499999,52.2613162812
23,10645.0,905,True,525,2236,3.18725554,0.63,254.9804432,42.0,Calculado,Mapeado,14.647255540000002,10.83,6.4909804432,6.194,0.0,0.0,17.0,2.83,0.63,0.189,0.042,14.3,6.425,14.647255540000002,6.4909804432
24,25.0,905,True,33541,2236,35.595885894999995,0.63,2847.6708716,42.0,Calculado,Mapeado,157.275885895,121.05,57.9396708716,55.05,2.0,14.78,19.0,19.8,0.63,1.32,0.042,141.48,56.411,157.275885895,57.9396708716
25,125.0,905,True,33541,2236,3.51549720625,0.63,281.2397765,42.0,Calculado,Mapeado,125.19549720625,121.05,55.3732397765,55.05,2.0,14.78,19.0,4.23,0.63,0.283,0.042,125.92,55.374,125.19549720625,55.3732397765
26,440.0,905,True,784,2236,3.10050352,0.63,248.0402816,42.0,Calculado,Mapeado,158.35050352,154.62,68.0910402816,67.801,4.0,60.43,7.0,2.12,0.63,0.141,0.042,157.37,67.984,158.35050352,68.0910402816
27,91.0,905,True,1148,17,11.47727080125,9.87,918.1816641,658.0,Calculado,Mapeado,61.44727080125,40.1,23.7761816641,22.2,1.0,3.58,9.0,10.07,9.87,0.671,0.658,60.03,23.529,61.44727080125,23.7761816641
28,17603.0,905,True,1073,2236,2.8749088825,0.63,229.9927106,42.0,Calculado,Mapeado,53.2249088825,49.72,28.9159927106,28.644,1.0,18.17,7.0,2.15,0.63,0.143,0.042,52.5,28.829,53.2249088825,28.9159927106
29,23.0,905,True,1836,2236,30.59521040625,9.87,2447.6168325,658.0,Calculado,Mapeado,172.31521040625,131.85,58.4966168325,55.391,2.0,8.15,13.0,17.07,9.87,1.138,0.658,158.78,57.186,172.31521040625,58.4966168325
30,36.0,905,True,1191,2236,9.38155278625,0.63,750.5242229,42.0,Calculado,Mapeado,104.53155278624999,94.52,32.7275242229,31.935,2.0,30.37,5.0,7.25,0.63,0.483,0.042,102.4,32.46,104.53155278624999,32.7275242229
31,13139.0,905,True,30,2236,10.88420359875,0.63,870.7362879,42.0,Calculado,Mapeado,52.23420359875,40.72,10.7787362879,9.866,1.0,15.37,18.0,6.35,0.63,0.423,0.042,47.7,10.33,52.23420359875,10.7787362879
32,100.0,905,True,1706,2236,2.15254951875,0.63,172.2039615,42.0,Calculado,Mapeado,82.18254951875,79.4,36.46920396150001,36.255,3.0,16.47,7.0,1.8,0.63,0.12,0.042,81.83,36.417,82.18254951875,36.46920396150001
33,167.0,905,True,2106,2236,1.550153175,0.63,124.012254,42.0,Calculado,Mapeado,105.560153175,103.38,31.289012254000003,31.123,2.0,44.98,23.0,1.5,0.63,0.1,0.042,105.52,31.265,105.560153175,31.289012254000003
34,934.0,905,True,1479,2236,5.13797641375,0.63,411.0381131,42.0,Calculado,Mapeado,90.39797641374999,84.63,47.1090381131,46.656,3.0,25.93,6.0,4.68,0.63,0.312,0.042,89.95,47.01,90.39797641374999,47.1090381131
35,5.0,905,True,1564,17,20.7173559775,9.87,1657.3884782,658.0,Calculado,Mapeado,115.76735597750002,85.18,37.5173884782,35.202,3.0,5.88,15.0,9.0,9.87,0.601,0.658,104.05,36.461,115.76735597750002,37.5173884782
36,1543.0,905,True,1066,2236,5.0753008625,0.63,406.024069,42.0,Calculado,Mapeado,74.9053008625,69.2,42.416024069,41.968,1.0,20.82,7.0,4.9,0.63,0.327,0.042,74.73,42.337,74.9053008625,42.416024069
37,1909.0,905,True,637,2236,4.11514505625,0.63,329.2116045,42.0,Calculado,Mapeado,89.02514505625,84.28,36.76621160450001,36.395,4.0,28.58,8.0,2.15,0.63,0.143,0.042,87.07,36.58,89.02514505625,36.76621160450001
38,81.0,905,True,1392,2236,7.495646618749999,9.87,599.6517295,658.0,Calculado,Mapeado,95.48564661875001,78.12,32.2386517295,30.981,2.0,8.15,19.0,4.05,9.87,0.27,0.658,92.03,31.91,95.48564661875001,32.2386517295
39,32.0,905,True,1529,2236,4.746733186249999,0.63,379.7386549,42.0,Calculado,Mapeado,111.00673318624999,105.63,45.6177386549,45.196,2.0,14.78,19.0,4.02,0.63,0.267,0.042,110.28,45.505,111.00673318624999,45.6177386549
40,20.0,905,True,1340,2236,8.75249743375,0.63,700.1997947,42.0,Calculado,Mapeado,129.03249743375,119.65,40.338199794699996,39.596,3.0,30.87,9.0,2.98,0.63,0.199,0.042,123.27,39.837,129.03249743375,40.338199794699996
41,247.0,905,True,890,2236,2.22072758625,0.63,177.6582069,42.0,Calculado,Mapeado,77.53072758625001,74.68,27.4796582069,27.26,3.0,28.03,13.0,2.48,0.63,0.165,0.042,77.8,27.467,77.53072758625001,27.4796582069
42,1245.0,905,True,1523,2236,3.34813628,0.63,267.8509024,42.0,Calculado,Mapeado,116.24813628,112.27,50.4358509024,50.126,2.0,14.78,19.0,1.67,0.63,0.111,0.042,114.57,50.279,116.24813628,50.4358509024
