OrigZoneNo,DestZoneNo,Time,Time_Minutes,FromStopPointNo,ToStopPointNo,PathIndex
1,905,4705.0,78.41666666666667,1475,2236,4
2,905,5024.0,83.73333333333333,582,2236,31
3,905,5773.0,96.21666666666667,1390,2236,1
4,905,4617.0,76.95,1201,17,1
5,905,3100.0,51.666666666666664,163,2236,3
6,905,4633.0,77.21666666666667,2130,2236,5
7,905,9968.0,166.13333333333333,786,2236,7
8,905,4181.0,69.68333333333334,1376,2236,4
9,905,6356.0,105.93333333333334,1071,2236,2
10,905,1837.0,30.616666666666667,2051,2236,5
11,905,10339.0,172.31666666666666,1294,2236,2
12,905,8959.0,149.31666666666666,1059,2236,2
13,905,8662.0,144.36666666666667,1266,2236,4
14,905,9771.0,162.85,1557,2236,1
15,905,5746.0,95.76666666666667,1191,2236,9
16,905,12293.0,204.88333333333333,776,2236,7
17,905,3515.0,58.583333333333336,511,2236,4
18,905,15882.0,264.7,727,2236,5
19,905,2397.0,39.95,33,2236,17
20,905,5411.0,90.18333333333334,1200,17,1
21,905,4576.0,76.26666666666667,893,2236,7
22,905,6615.0,110.25,1103,2236,15
23,905,858.0,14.3,525,2236,16
24,905,8489.0,141.48333333333332,33541,2236,11
25,905,7555.0,125.91666666666667,33541,2236,11
26,905,9219.0,153.65,784,2236,7
27,905,3602.0,60.03333333333333,1148,17,1
28,905,3150.0,52.5,1073,2236,2
29,905,8988.0,149.8,1836,2236,8
30,905,5980.0,99.66666666666667,1191,2236,5
31,905,2862.0,47.7,30,2236,16
32,905,4910.0,81.83333333333333,1706,2236,1
33,905,6331.0,105.51666666666667,2106,2236,8
34,905,5397.0,89.95,1479,2236,4
35,905,6243.0,104.05,1564,17,8
36,905,4484.0,74.73333333333333,1066,2236,3
37,905,5224.0,87.06666666666666,637,2236,4
38,905,5415.0,90.25,1392,2236,1
39,905,6581.0,109.68333333333334,1529,2236,4
40,905,7396.0,123.26666666666667,1340,2236,12
41,905,4668.0,77.8,890,2236,7
42,905,6862.0,114.36666666666666,1523,2236,4
43,905,2289.0,38.15,821,2236,6
44,905,7566.0,126.1,1334,2236,12
45,905,5967.0,99.45,1422,2236,3
46,905,5805.0,96.75,698,2236,16
47,905,5651.0,94.18333333333334,1567,17,8
